title,director,plot,box_office,imdbrating,released
Mallrats (1995),Kevin Smith,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.","$2,122,561",7.0,20 Oct 1995
Mighty Morphin Power Rangers: The Movie (1995),Thomas C. Grane,A behind the scenes look at the making of 'Mighty Morphin Power Rangers the Movie'.,N/A,6.3,01 Jul 1995
Moonlight and Valentino (1995),David Anspaugh,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.,"$2,484,226",5.7,29 Sep 1995
Mute Witness (1994),,,,,
Nadja (1994),Michael Almereyda,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are bei...","$443,169",6.0,01 Sep 1995
"Net, The (1995)",,,,,
Nine Months (1995),Chris Columbus,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","$69,684,532",5.5,12 Jul 1995
Party Girl (1995),Daisy von Scherler Mayer,"A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.","$472,370",6.5,09 Jun 1995
"Prophecy, The (1995)",,,,,
Reckless (1995),Norman René,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.","$103,351",5.2,17 Nov 1995
Safe (1995),Todd Haynes,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,"$512,245",7.1,30 Jun 1995
"Scarlet Letter, The (1995)",,,,,
"Show, The (1995)",Dean Parisot,"The Kathy &amp; Mo Show: The Dark Side is a no-holds barred frank and funny look at religion, gay rights and feminism.",N/A,7.2,08 Jul 1995
Showgirls (1995),Paul Verhoeven,"A mysterious young drifter who calls herself Nomi Malone hitches a ride to Las Vegas, where she finds work as a stripper and sets about clawing her way to the top of the Vegas showgirls.","$20,350,754",5.1,22 Sep 1995
Smoke (1995),Wayne Wang,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.","$8,367,636",7.4,09 Jun 1995
Something to Talk About (1995),Lasse Hallström,A woman's world is rocked when she discovers her husband is cheating on her.,"$50,865,589",5.7,04 Aug 1995
Species (1995),Roger Donaldson,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,"$60,074,103",5.9,07 Jul 1995
"Stars Fell on Henrietta, The (1995)",,,,,
Strange Days (1995),Kathryn Bigelow,A black-marketeer tries to save a woman in 1999 Los Angeles.,"$7,959,291",7.2,13 Oct 1995
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",,,,,
"Tie That Binds, The (1995)",,,,,
Three Wishes (1995),Martha Coolidge,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realizing who he was, or the effect he would have on her life and those of her family.","$7,027,517",6.1,27 Oct 1995
Total Eclipse (1995),Agnieszka Holland,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.","$340,139",6.5,03 Nov 1995
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Beeban Kidron,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.","$36,474,193",6.8,08 Sep 1995
Under Siege 2: Dark Territory (1995),Geoff Murphy,"Casey Ryback, is on vacation, with his recently orphaned niece to attend his brothers funeral by train but when terrorists hijack it, to use as a mobile base to hack a top secret destructive US satellite, Ryback must stop them.","$50,024,083",5.6,14 Jul 1995
Unstrung Heroes (1995),Diane Keaton,"When a youngster needs a break from the pressures of his parents' household, he moves in with his offbeat uncles and learns some invaluable life lessons.","$7,929,434",6.7,22 Sep 1995
Unzipped (1995),Douglas Keeve,One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,"$2,875,086",6.4,11 Aug 1995
"Walk in the Clouds, A (1995)",,,,,
Waterworld (1995),Kevin Reynolds,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.","$88,246,220",6.3,28 Jul 1995
White Man's Burden (1995),Desmond Nakano,"In an alternative America where African-Americans and White Americans have reversed cultural roles, a white factory worker kidnaps a black factory owner for dismissing him over perceived disdain.","$3,734,870",5.3,01 Dec 1995
Wild Bill (1995),Walter Hill,The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,"$2,193,982",5.8,01 Dec 1995
"Browning Version, The (1994)",,,,,
Bushwhacked (1995),Greg Beeman,"Framed for murder and on the run from authorities, a sleazy courier poses as a scout leader. But he has no idea what he's in for when he must actually take charge of a group of kids on a hiking trip.","$7,919,823",5.6,04 Aug 1995
Burnt By the Sun (Utomlyonnye solntsem) (1994),,,,,
Before the Rain (Pred dozhdot) (1994),,,,,
Before Sunrise (1995),Richard Linklater,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","$5,535,405",8.1,27 Jan 1995
Billy Madison (1995),Tamra Davis,"In order to inherit his fed-up father Brian's hotel empire, immature and lazy Billy Madison must repeat grades one through twelve all over again. The further Billy progresses, the harder his hated rival Eric Gordon tries to stop him.","$25,588,734",6.4,10 Feb 1995
"Babysitter, The (1995)",,,,,
Boys on the Side (1995),Herbert Ross,"Robin shares a ride in her car with Jane from New York to Los Angeles. They stop at Jane's friend Holly's place in Pittsburgh and take her with them west, making a long stop in Tucson. The three very different women become close f...","$23,440,188",6.5,03 Feb 1995
"Cure, The (1995)",,,,,
Castle Freak (1995),Stuart Gordon,A man struggles to save his family from the strange and deadly occurrences in the castle they've inherited.,N/A,6.0,14 Nov 1995
Circle of Friends (1995),Pat O'Connor,"Three women, who've been friends since childhood, meet at university in Dublin in 1957. Student and boyfriend life begins.","$23,389,975",6.6,15 Mar 1995
Clerks (1994),Kevin Smith,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.","$3,151,130",7.7,09 Nov 1994
Don Juan DeMarco (1995),,,,,
Disclosure (1994),Barry Levinson,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.","$83,015,089",6.2,09 Dec 1994
Dream Man (1995),René Bonnière,Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her ...,N/A,4.7,19 Jun 1995
Drop Zone (1994),John Badham,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,"$28,735,315",5.6,09 Dec 1994
Destiny Turns on the Radio (1995),Jack Baran,"After 3 years in prison, Julian breaks out and returns to Vegas to get his half from the bank robbery and see Lucille again. The Devil took the loot and Tuerto took Lucille.","$1,176,982",4.6,28 Apr 1995
Death and the Maiden (1994),Roman Polanski,A political activist is convinced that her guest is a man who once tortured her for the government.,"$3,103,716",7.2,27 Jan 1995
Dolores Claiborne (1994),,,,,
Dumb & Dumber (1994),,,,,
Eat Drink Man Woman (1994),Ang Lee,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,"$7,294,403",7.8,03 Aug 1994
Exotica (1994),Atom Egoyan,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.","$4,221,036",7.0,24 Mar 1995
Exit to Eden (1994),Garry Marshall,"Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.","$6,841,570",4.3,14 Oct 1994
Ed Wood (1994),Tim Burton,Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.,"$5,887,457",7.8,07 Oct 1994
French Kiss (1995),Lawrence Kasdan,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,"$38,896,854",6.6,05 May 1995
Forget Paris (1995),Billy Crystal,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.","$33,177,694",6.5,19 May 1995
Far From Home: The Adventures of Yellow Dog (1995),Phillip Borsos,"Angus McCormick adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with his father, John, he and Yellow become stranded when turbulent waters capsize their boat. John a...","$11,642,946",6.3,13 Jan 1995
"Goofy Movie, A (1995)",,,,,
Hideaway (1995),Brett Leonard,"Family man Hatch Harrison gets a special resuscitative medicine after ""dying"" in a car accident. Afterwards, he starts having strange nightmares such as killing a teen girl. Is it just dreams?","$12,201,255",5.3,03 Mar 1995
Fluke (1995),Carlo Carlei,"After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.","$3,987,768",6.6,02 Jun 1995
Farinelli: il castrato (1994),,,,,
Gordy (1995),,,,,
Gumby: The Movie (1995),Art Clokey,"In this offshoot of the 1950s ""claymation"" cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.","$57,100",6.0,01 Dec 1995
"Glass Shield, The (1994)",,,,,
Hoop Dreams (1994),Steve James,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,"$7,830,611",8.3,14 Oct 1994
Heavenly Creatures (1994),Peter Jackson,"Two teenage girls share a unique bond: their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.","$3,049,135",7.3,14 Oct 1994
Houseguest (1994),,,,,
Immortal Beloved (1994),Bernard Rose,"A biopic exploring Beethoven's tumultuous life, focusing on his romantic pursuits. The film investigates the identity of the mysterious woman to whom the composer penned a passionate love letter, delving into his complex relations...","$9,914,409",7.4,27 Jan 1995
Heavyweights (1994),,,,,
"Hunted, The (1995)",,,,,
I.Q. (1994),Fred Schepisi,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.","$26,381,221",6.2,25 Dec 1994
Interview with the Vampire (1994),Neil Jordan,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","$105,264,608",7.5,11 Nov 1994
Jefferson in Paris (1995),James Ivory,Widower Thomas Jefferson (3rd US president 1801-09) lives in Paris 1785-90 with his daughter. He has a pretty slave girl accompany his other daughter to France. He has an alleged affair with her resulting in children.,"$2,473,668",5.7,31 Mar 1995
"Jerky Boys, The (1994)",,,,,
Junior (1994),Ivan Reitman,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.","$36,763,355",4.8,23 Nov 1994
Just Cause (1995),Arne Glimcher,A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.,"$36,853,222",6.4,17 Feb 1995
